id,name,district_code,abbr,latitude,longitude,pinyin
2315,敦煌,620982,DH,40.141117,94.664276,dunhuang
2323,定西,621100,DX,35.579578,104.626297,dingxi
2330,陇南,621200,LN,33.388599,104.929382,longnan
2348,合作,623001,HZ,34.985973,102.911491,hezuo
2359,海东,630200,HD,36.502914,102.103271,haidong
2389,玉树,632701,YS,33.004047,97.008522,yushu
2396,德令哈,632802,DLH,37.374554,97.370140,delingha
2409,青铜峡,640381,QTX,38.021507,106.075394,qingtongxia
2410,固原,640400,GY,36.004562,106.285240,guyuan
5035,栾城区,130111,LCQ,37.900249,114.648392,luanchengqu
5042,曹妃甸区,130209,CFD,39.273129,118.460228,caofeidianqu
5861,西峰区,621002,XFQ,35.733711,107.638824,xifengqu
